id;file_type;relative_path_in_st;l_t_insertion_date;path_in_lt;format;sub_system_at_origin_of_data;time_of_data;security_level;crc;INPUT_TYPE;owner_id
1;mobile Fish;Home Loan Account Table Computer;2019-10-01T02:00:30.358;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Chips;2019-10-01T02:00:30.358;NORMAL;Home Namibia;CONFIG;1
2;Steel zero administration;Multi-channelled Licensed;2019-10-01T02:00:30.358;syndicate;Mississippi Refined Rubber Chicken Table;Automotive;2019-09-30T02:00:30.358;EIC;Nakfa;INPUT;1
3;Bahamian Dollar Investment Account;Games Regional Digitized;2019-10-01T02:00:30.358;hardware Costa Rica Mayotte;Industrial;connect Markets Chief;2019-10-01T02:00:30.358;EIC;Tactics;CONFIG;2
4;scale interactive generating;Specialist Home Loan Account;2019-10-01T02:00:30.358;scalable;Small;deliverables reinvent 24 hour;2019-10-01T02:00:30.358;NORMAL;Unbranded Plastic Tuna Frozen;INPUT;3
5;generating Highway Ergonomic;moratorium moratorium;2019-09-30T02:00:30.358;withdrawal COM;embrace Developer;synthesize Idaho compress;2019-10-01T02:00:30.358;NORMAL;Small partnerships;CONFIG;4
6;Outdoors;Harbor Montana;2019-10-01T02:00:30.358;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;2019-10-01T02:00:30.358;NORMAL;virtual deposit;INPUT;1
7;Squares mint green e-business;Ghana back-end National;2019-10-01T02:00:30.358;Gorgeous Profit-focused synergies;cutting-edge ability Hat;supply-chains magenta;2019-10-01T02:00:30.358;EIC;Gloves sky blue Oklahoma;CONFIG;3
8;robust Engineer;Exclusive Moroccan Dirham card;2019-10-01T02:00:30.358;Supervisor;Personal Loan Account;paradigms Home;2019-10-01T02:00:30.358;EIC;Designer Persistent;INPUT;4
9;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;2019-10-01T02:00:30.358;Licensed hacking installation;Argentine Peso;Kentucky Algerian Dinar Clothing;2019-10-01T02:00:30.358;EIC;disintermediate Cambridgeshire hacking;CONFIG;3
10;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;2019-09-30T02:00:30.358;Borders content-based;Tasty Customer Human;pink even-keeled;2019-10-01T02:00:30.358;NORMAL;invoice Unbranded Cheese;INPUT;4
