relative_path_in_st;l_t_insertion_date;path_in_lt;file_type;format;sub_system_at_origin_of_data;security_level;crc;owner_id;run_id
New Zealand Dollar Alabama transform;2019-09-30T02:00:30.358;Supervisor clear-thinking;Latvia;Ports Manager Fish;Networked;EIC;program alarm;1;1
Nevada;2019-10-01T02:00:30.358;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;NORMAL;local Shoes;1;2
Intelligent Frozen Sausages Villages;2019-10-01T02:00:30.358;PCI back up Factors;architectures;Wisconsin Facilitator Incredible;reinvent;NORMAL;mesh;2;3
Configuration UIC-Franc;2019-10-01T02:00:30.358;Intelligent;Zambian Kwacha intuitive;Bedfordshire;portal calculating Metal;NORMAL;open-source HDD;3;4
Sleek Beauty Auto Loan Account;2019-09-30T02:00:30.358;Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna;NORMAL;Brunei Darussalam interface;4;5
compress lavender Investment Account;2019-09-30T02:00:30.358;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;content;NORMAL;Brand;3;6
infomediaries Som Rustic Frozen Keyboard;2019-09-30T02:00:30.358;Optimized;microchip;Response invoice;alarm Jamaica;EIC;Steel leading-edge Small;4;7
Incredible Fresh Chips;2019-09-30T02:00:30.358;Bridge;connect;Hollow Shoes systems;Generic Frozen Tuna HTTP;NORMAL;EXE payment;3;8
Checking Account;2019-09-30T02:00:30.358;Solutions COM;Data North Dakota;North Carolina Granite;Somalia Web revolutionize;EIC;yellow;4;9
Books Generic;2019-09-30T02:00:30.358;Handcrafted Plastic Shirt quantifying;wireless;hybrid;Solomon Islands Dollar;NORMAL;intermediate Table quantify;3;10
